,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,norm_id,Unnamed: 0,id,file,label
117,18,original_2019_scans,In House,190715_3:1,Control,190715_3,APOE33,male,4/25/14,32.4,9/12/15,16.57,17.0,1.38,,190715_3:1,N57550,N57551,116.0,26.0,,16.57,Control,19071503,10.0,19071503,True,True
118,VIII,1,In House,210201-2:0,Control,210201_2,APOE33,female,1/1/16,31.2,6/8/17,17.23,17.0,1.44,True,210201-2:1,N59003-m00-m48,N59004,64.0,26.0,,17.23,Control,21020102,,,,
119,VIII,2,In House,210201-3:0,Control,210201_3,APOE33,female,1/1/16,34.6,6/8/17,17.23,17.0,1.44,True,210201-3:1,,,,,,17.23,Control,21020103,,,,
120,VIII,3,In House,210201-4:0,Control,210201_4,APOE33,female,1/1/16,33.6,6/8/17,17.23,17.0,1.44,True,210201-4:1,,,,,,17.23,Control,21020104,,,,
121,VIII,4,In House,210201-5:0,Control,210201_5,APOE33,female,1/1/16,28.5,6/8/17,17.23,17.0,1.44,True,210201-5:1,,,,,,17.23,Control,21020105,,,,
122,25,original_2019_scans,In House,190909_14:1,Control,190909_14,APOE33,female,4/25/14,28.1,10/9/15,17.47,17.0,1.46,,190909_14:1,N57590,N57591,111.0,17.0,,17.47,Control,19090914,,,,
123,,original_2019_scans,In House,190909_10:1,Control,190909_10,APOE33,male,4/25/14,36.4,10/11/15,17.53,18.0,1.46,,190909_10:1,N57460,N57461,112.0,24.0,,17.53,Control,19090910,,,,
124,22,original_2019_scans,In House,190909_10:1,Control,190909_10,APOE33,female,4/25/14,36.4,10/11/15,17.53,18.0,1.46,,190909_10:1,N57580,N57581,125.0,27.0,,17.53,Control,19090910,,,,
125,VIII,34,In House,210222-16:0,Control,210222_16,APOE22,male,2/16/16,/, 6/7/21                                                       Dying during image                                             by Dr. Badea                       ,,0.0,#VALUE!,,210222-16:1,,,,,Did not draw the blood ,#VALUE!,Control,21022216,,,,
126,VIII,35,In House,210222-17:0,Control,210222_17,APOE22,female,2/16/16,28.3,6/7/17,15.7,16.0,1.31,False,210222-17:1,,,,,,15.7,Control,21022217,,,,
127,23,original_2019_scans,In House,190909_11:1,Control,190909_11,APOE33,female,4/25/14,36.2,10/11/15,17.53,18.0,1.46,,190909_11:1,N57582,N57583,108.0,24.0,,17.53,Control,19090911,16.0,19090911,True,True
128,24,original_2019_scans,In House,190909_12:1,Control,190909_12,APOE33,female,4/25/14,30.4,10/11/15,17.53,18.0,1.46,,190909_12:1,N57584,N57585,108.0,24.0,,17.53,Control,19090912,17.0,19090912,True,True
129,24,original_2019_scans,In House,190909_13:1,Control,190909_13,APOE33,male,4/25/14,34,10/11/15,17.53,18.0,1.46,,190909_13:1,N57587,N57588,114.0,25.0,,17.53,Control,19090913,18.0,19090913,True,True
130,IX,12,In House,210624-12:0,Control,210503_13,APOE33,female,11/7/15,30.5,6/23/17,19.2,19.0,1.6,,210624-12:1,,,,,"Abdominal tumor.  6/30/21 die during image? Did not draw the blood. 7/1/21 dessection find uterus, ovary or kidney tumor. Save haed in formalin+0.5% ProHance",#VALUE!,Control,21062412,,,,
131,IX,13,In House,210624-13:0,Control,210503_14,APOE33,female,11/7/15,27.7,6/23/17,19.2,19.0,1.6,,210624-13:1,,,,,6/30/21 Die during image. Did not draw the blood. 7/1/21 Save haed in formalin+0.5% ProHance,#VALUE!,Control,21062413,,,,
132,IX,4,In House,210624-4:0,Control,210503_4,APOE33,male,11/1/15,31.3,6/30/17,19.97,20.0,1.66,True,210624-4:1,,,,,,19.97,Control,21062404,,,,
133,IX,5,In House,210624-5:0,Control,210503_5,APOE33,male,11/1/15,33.3,6/30/17,19.97,20.0,1.66,True,210624-5:1,,,,,,19.97,Control,21062405,,,,
134,IX,6,In House,210624-6:0,Control,210503_6,APOE33,male,11/1/15,32.9,6/30/17,19.97,20.0,1.66,True,210624-6:1,,,,,,19.97,Control,21062406,,,,
135,IX,15,In House,210624-15:0,Control,210503_16,APOE33,female,11/7/15,30.1,6/23/17,19.2,19.0,1.6,,210624-15:1,,,,,"6/30/21 MRI find brain tumor. 7/1/21 wt 30.4g. Lip-I (IV) injection for Micro Ct , 7/6/21 Die during CT. Did not draw the blood. Save haed in formalin+0.5% ProHance",#VALUE!,Control,21062415,,,,
136,IX,16,In House,210624-16:0,Control,210503_17,APOE33,female,7/7/15,35.1,6/23/17,19.2,19.0,1.6,,210624-16:1,died during imaging,,,,7/1/21 Die during image. Did not draw the blood. 7/2/21 Save haed in formalin+0.5% ProHance,#VALUE!,Control,21062416,,,,
137,IX,11,In House,210624-11:0,Control,210503_12,APOE33,female,11/7/15,30.7,6/30/17,19.77,20.0,1.65,True,210624-11:1,,,,,,19.77,Control,21062411,,,,
138,IX,14,In House,210624-14:0,Control,210503_15,APOE33,female,11/7/15,36.5,6/30/17,19.77,20.0,1.65,True,210624-14:1,,,,,,19.77,Control,21062414,,,,
139,IX,1,In House,210624-1:0,Control,210503_1,APOE33,male,10/12/15,33.5,6/30/17,20.6,21.0,1.72,True,210624-1:1,,,,,,20.6,Control,21062401,,,,
140,IX,2,In House,210624-2:0,Control,210503_2,APOE33,male,10/12/15,39,6/30/17,20.6,21.0,1.72,True,210624-2:1,,,,,,20.6,Control,21062402,,,,
141,IX,3,In House,210624-3:0,Control,210503_3,APOE33,male,10/12/15,40.3,6/30/17,20.6,21.0,1.72,True,210624-3:1,,,,,,20.6,Control,21062403,,,,
142,IX,7,In House,210624-7:0,Control,210503_7,APOE33,female,11/1/15,27.5,6/30/17,19.97,20.0,1.66,True,210624-7:1,,,,,,19.97,Control,21062407,,,,
143,X,1,In House,210730-4:0,HFD,210112_2,APOE44HN,female,4/5/16,56.2,7/30/21                                                 Micro Ct image                                           8/17/21                                                                        ,,0.0,#VALUE!,,210730-4:1,,,,,,#VALUE!,HFD,21073004,,,,
144,X,2,In House,210817-1:0,HFD,210112_4,APOE44HN,female,4/5/16,52.6,8/16/17,16.37,16.0,1.36,True,210817-1:1,N58948_m00-m48,N58949,114.0,27.0,,16.37,HFD,21081701,,,,
145,X,3,In House,210817-2:0,Control,210112_5,APOE44HN,male,4/14/16,28.4,8/16/17,16.07,16.0,1.34,True,210817-2:1,,,,,,16.07,Control,21081702,,,,
146,X,4,In House,210817-3:0,Control,210112_6,APOE44HN,male,4/14/16,29.5,8/16/17,16.07,16.0,1.34,True,210817-3:1,N58935_m00-m48,N58936,111.0,28.0,,16.07,Control,21081703,,,,
147,X,5,In House,210817-4:0,Control,210112_7,APOE44HN,male,4/14/16,33.4,8/16/17,16.07,16.0,1.34,True,210817-4:1,,,,,,16.07,Control,21081704,,,,
148,X,6,In House,210817-5:0,HFD,210112_9,APOE44HN,male,4/20/16,45.3,8/16/17,15.87,16.0,1.32,False,210817-5:1,N58946_m00-m48,N58947,117.0,28.0,,15.87,HFD,21081705,,,,
149,X,7,In House,210730-3:0,HFD,210112_11,APOE44HN,male,4/20/16,51.1,8/16/17,15.87,16.0,1.32,False,210730-3:1,,,,,,15.87,HFD,21073003,,,,
150,X,8,In House,210817-6:0,Control,210112_14,APOE44HN,female,4/20/16,30.2,8/16/17,15.87,16.0,1.32,False,210817-6:1,,,,,,15.87,Control,21081706,,,,
151,X,9,In House,210817-7:0,Control,210112_15,APOE44HN,female,4/20/16,26.5,8/16/17,15.87,16.0,1.32,False,210817-7:1,N59022_m00-m48,N59023,,,,15.87,Control,21081707,,,,
152,X,10,In House,210817-8:0,Control,210112_16,APOE44HN,female,4/20/16,25.5,8/16/17,15.87,16.0,1.32,False,210817-8:1,,,,,,15.87,Control,21081708,,,,
153,X,11,In House,210817-9:0,Control,210112_17,APOE44HN,female,4/28/16,25.5,8/16/17,15.6,16.0,1.3,False,210817-9:1,N59026_m00-m48,N59027,103.0,26.0,,15.6,Control,21081709,,,,
154,X,12,In House,210730-5:0,HFD,210112_18,APOE33HN,male,4/27/16,51.8,8/17/17,15.67,16.0,1.31,False,210730-5:1,,,,,,15.67,HFD,21073005,,,,
155,X,13,In House,210817-10:0,HFD,210112_19,APOE33HN,male,4/27/16,53.6,8/18/17,15.7,16.0,1.31,False,210817-10:1,,,,,,15.7,HFD,21081710,,,,
156,X,14,In House,210817-11:0,HFD,210112_20,APOE33HN,male,4/27/16,66.2,8/17/17,15.67,16.0,1.31,False,210817-11:1,,,,,,15.67,HFD,21081711,,,,
157,X,15,In House,210730-6:0,HFD,210112_21,APOE33HN,female,4/27/16,57.7,8/17/17,15.67,16.0,1.31,False,210730-6:1,,,,,,15.67,HFD,21073006,,,,
158,X,16,In House,210817-12:0,HFD,210112_23,APOE33HN,female,3/9/16,54.3,8/17/17,17.27,17.0,1.44,True,210817-12:1,,,,,,17.27,HFD,21081712,,,,
159,X,17,In House,210817-13:0,HFD,210112_24,APOE33HN,female,4/28/16,52.2,8/17/17,15.63,16.0,1.3,False,210817-13:1,N58919_m00-m48,N58920,105.0,26.0,,15.63,HFD,21081713,,,,
160,X,20,In House,210730-8:0,HFD,210112_27,APOE44,female,4/5/16,50.7,8/17/17,16.4,16.0,1.37,True,210730-8:1,,,,,,16.4,HFD,21073008,,,,
161,X,21,In House,210817-15:0,HFD,210112_28,APOE44,female,4/5/16,45.1,8/17/17,16.4,16.0,1.37,True,210817-15:1,,,,,,16.4,HFD,21081715,,,,
162,X,22,In House,210817-16:0,HFD,210112_29,APOE44,female,4/15/16,34.6,8/17/17,16.07,16.0,1.34,True,210817-16:1,,,,,,16.07,HFD,21081716,,,,
163,XII,19,In House,210906-12:0,HFD,210906_12,APOE44,Female,9/7/16,36.3,11/16/17,14.5,15.0,,,210906-12:1,,,,,,14.5,HFD,21090612,,,,
164,XII,20,In House,210906-13:0,HFD,210906_13,APOE44,Female,9/7/16,33,11/16/17,14.5,15.0,,,210906-13:1,,,,,,14.5,HFD,21090613,,,,
165,X,23,In House,210817-17:0,HFD,210112_1,APOE44HN,female,4/5/16,49.3,8/18/17,16.43,16.0,1.37,True,210817-17:1,,,,,,16.43,HFD,21081717,,,,
166,X,24,In House,210817-18:0,Control,210112_8,APOE44HN,male,4/14/16,26.6,8/17/17,16.1,16.0,1.34,True,210817-18:1,,,,,,16.1,Control,21081718,,,,
167,X,25,In House,210817-19:0,HFD,210112_12,APOE44HN,male,4/20/16,49.9,8/18/17,15.93,16.0,1.33,False,210817-19:1,N58941_m00-m48,N58942,109.0,26.0,,15.93,HFD,21081719,,,,
168,XI,1,In House,211001-1:0,Control,210503_18,APOE22,male,5/11/16,38.6,9/30/17,16.63,17.0,1.39,True,211001-1:1,,,,,,16.63,Control,21100101,,,,
169,XI,2,In House,211001-2:0,Control,210503_19,APOE22,male,5/11/16,33.1,9/30/17,16.63,17.0,1.39,True,211001-2:1,,,,,,16.63,Control,21100102,,,,
170,XI,3,In House,211001-3:0,Control,210503_20,APOE22,male,5/11/16,36.2,9/30/17,16.63,17.0,1.39,True,211001-3:1,,,,,,16.63,Control,21100103,,,,
171,XI,4,In House,211001-4:0,Control,210503_21,APOE22,female,5/11/16,28.8,9/30/17,16.63,17.0,1.39,True,211001-4:1, ,,,,,16.63,Control,21100104,,,,
172,XI,5,In House,211001-5:0,Control,210503_22,APOE22,female,5/11/16,25.8,9/30/17,16.63,17.0,1.39,True,211001-5:1,,,,,,16.63,Control,21100105,,,,
173,XI,6,In House,211001-6:0,HFD,210614_2,APOE22HN,female,6/28/16,40.9,9/30/17,15.07,15.0,1.26,False,211001-6:1,,,,,,15.07,HFD,21100106,,,,
174,XI,7,In House,211001-7:0,HFD,210614_3,APOE22HN,female,6/28/16,33.9,9/30/17,15.07,15.0,1.26,False,211001-7:1,,,,,,15.07,HFD,21100107,,,,
175,XI,8,In House,211001-8:0,HFD,210614_4,APOE22HN,female,6/28/16,27.3,9/30/17,15.07,15.0,1.26,False,211001-8:1,,,,,,15.07,HFD,21100108,,,,
176,XI,9,In House,211001-9:0,HFD,210614_5,APOE22HN,female,6/28/16,28.2,9/30/17,15.07,15.0,1.26,False,211001-9:1,,,,,,15.07,HFD,21100109,,,,
177,XI,10,In House,210730-2:0,HFD,210614_1,APOE22HN,female,6/28/16,36.6,9/30/17,15.07,15.0,1.26,False,210730-2:1,,,,,,15.07,HFD,21073002,,,,
178,XI,11,In House,211001-10:0,HFD,210614_8,APOE33HN,Male ,6/19/16,52.1,10/5/17,15.77,16.0,1.333333333,,211001-10:1,,,,,,15.77,HFD,21100110,,,,
179,XI,12,In House,211001-11:0,HFD,210614_9 ,APOE33HN,Male ,6/19/16,47.3,10/5/17,15.77,16.0,1.333333333,,211001-11:1,,,,,,15.77,HFD,21100111,,,,
180,XI,13,In House,211001-12:0,HFD,210614_10 ,APOE33HN,Male ,6/19/16,46.4,10/5/17,15.77,16.0,1.333333333,,211001-12:1,,,,,,15.77,HFD,21100112,,,,
181,XI,14,In House,211001-13:0,HFD,210614_11 ,APOE33HN,Male ,6/19/16,45.2,10/5/17,15.77,16.0,1.333333333,,211001-13:1,,,,,,15.77,HFD,21100113,,,,
182,XI,15,In House,211001-14:0,HFD,210614_12 ,APOE33HN,Male,6/19/16,47.1,10/5/17,15.77,16.0,1.333333333,,211001-14:1,,,,,,15.77,HFD,21100114,,,,
183,XI,16,In House,211001-15:0,Control,210614_22 ,APOE33HN,male,6/19/16,34.6,10/5/17,15.77,16.0,1.333333333,,211001-15:1,,,,,,15.77,Control,21100115,,,,
184,XI,17,In House,211001-16:0,Control,210614_23 ,APOE33HN,male,6/19/16,33,10/5/17,15.77,16.0,1.333333333,,211001-16:1,,,,,,15.77,Control,21100116,,,,
185,XI,18,In House,211001-17:0,Control,210614_24 ,APOE33HN,male,6/19/16,35,10/5/17,15.77,16.0,1.333333333,,211001-17:1,,,,,,15.77,Control,21100117,,,,
186,XI,19,In House,211001-18:0,Control,210614_25 ,APOE33HN,male,6/19/16,32.8,10/5/17,15.77,16.0,1.333333333,,211001-18:1,,,,,,15.77,Control,21100118,,,,
187,XI,20,In House,211001-19:0,Control,210614_26 ,APOE33HN,male,6/19/16,36.8,10/5/17,15.77,16.0,1.333333333,,211001-19:1,,,,,,15.77,Control,21100119,,,,
188,XI,21,In House,211001-20:0,HFD,210614_13 ,APOE33HN,Female ,6/19/16,44.8,10/7/17,15.83,16.0,,,211001-20:1,,,,,,15.83,HFD,21100120,,,,
189,XI,22,In House,211001-21:0,HFD,210614_14 ,APOE33HN,Female ,6/19/16,53.8,10/7/17,15.83,16.0,,,211001-21:1,,,,,,15.83,HFD,21100121,,,,
190,XI,23,In House,211001-22:0,HFD,210614_15 ,APOE33HN,Female ,6/19/16,46,10/7/17,15.83,16.0,,,211001-22:1,,,,,,15.83,HFD,21100122,,,,
191,XI,24,In House,211001-23:0,HFD,210614_16 ,APOE33HN,Female ,6/19/16,47.1,10/7/17,15.83,16.0,,,211001-23:1,,,,,,15.83,HFD,21100123,,,,
192,XI,25,In House,211001-24:0,HFD,210614_31 ,APOE33HN,Female ,6/19/16,52,10/7/17,15.83,16.0,,,211001-24:1,,,,,,15.83,HFD,21100124,,,,
193,XI,26,In House,210730-1:0,HFD,210614_6 ,APOE22HN,male,6/28/16,38.1,10/4/17,15.43,15.0,,,210730-1:1,,,,,,15.43,HFD,21073001,,,,
194,XI,27,In House,211001-25:0,HFD,210614_7 ,APOE22HN,male,6/28/16,31.2,10/4/17,15.43,15.0,,,211001-25:1,,,,,,15.43,HFD,21100125,,,,
195,XI,28,In House,211001-26:0,Control,210614_17 ,APOE33HN,female,6/15/16,26.7,10/4/17,15.87,16.0,1.333333333,,211001-26:1,,,,,,15.87,Control,21100126,,,,
196,XI,29,In House,211001-27:0,Control,210614_18 ,APOE33HN,female,6/15/16,26.8,10/4/17,15.87,16.0,1.333333333,,211001-27:1,,,,,,15.87,Control,21100127,,,,
197,XI,30,In House,211001-28:0,Control,210614_19 ,APOE33HN,female,6/15/16,28.7,10/4/17,15.87,16.0,1.333333333,,211001-28:1,,,,,,15.87,Control,21100128,,,,
198,XI,31,In House,211001-29:0,Control,210614_20 ,APOE33HN,female,6/15/16,30,10/4/17,15.87,16.0,1.333333333,,211001-29:1,,,,,,15.87,Control,21100129,,,,
199,XI,32,In House,211001-30:0,Control,210614_21,APOE33HN,female,6/15/16,34.3,10/4/17,15.87,16.0,1.333333333,,211001-30:1,,,,,,15.87,Control,21100130,,,,
200,XI,33,In House,211001-31:0,Control,210614_27 ,APOE33HN,male,6/27/16,31.8,10/4/17,15.47,15.0,1.25,,211001-31:1,,,,,,15.47,Control,21100131,,,,
201,XI,34,In House,211001-32:0,Control,210614_28 ,APOE33HN,male,6/27/16,33.3,10/4/17,15.47,15.0,1.25,,211001-32:1,,,,,,15.47,Control,21100132,,,,
202,XI,35,In House,211001-33:0,Control,210614_29 ,APOE33HN,male,6/27/16,32,10/4/17,15.47,15.0,1.25,,211001-33:1,,,,,,15.47,Control,21100133,,,,
203,XI,36,In House,211001-34:0,Control,210614_30 ,APOE33HN,male,6/27/16,29.5,10/4/17,15.47,15.0,1.25,,211001-34:1,,,,,,15.47,Control,21100134,,,,
204,XI,37,Colton lab,211001-35:0,,Cage 1414913_1,CVN,Male ,9/6/16,28.6,10/6/17,,,,,211001-35:1,,,,,,,,21100135,,,,
205,XI,38,Colton lab,211001-36:0,,Cage 1248386_1,CVN,Male ,9/12/16,29.1,10/6/17,,,,,211001-36:1,,,,,,,,21100136,,,,
206,XI,39,Colton lab,211001-37:0,,Cage 1248386_2,CVN,Male,9/12/16,28.5,10/6/17,,,,,211001-37:1,,,,,,,,21100137,,,,
207,XI,40,Colton lab,211001-38:0,,Cage 1248386_3,CVN,Male ,9/12/16,29.6,10/6/17,,,,,211001-38:1,,,,,,,,21100138,,,,
208,XI,41,Colton lab,211001-39:0,,Cage 1248386_4,CVN,Male ,9/12/16,26.1,10/6/17,,,,,211001-39:1,,,,,,,,21100139,,,,
209,XI,42,Colton lab,211001-40:0,,Cage 1170422_1,CVN,Male ,9/27/16,31.9,10/6/17,,,,,211001-40:1,,,,,,,,21100140,,,,
210,XI,43,Colton lab,211001-41:0,,Cage 1170422_2,CVN,Male ,9/27/16,32.4,10/6/17,,,,,211001-41:1,,,,,,,,21100141,,,,
211,XI,44,Colton lab,211001-42:0,,Cage 1170422_3,CVN,Male ,9/27/16,30.6,10/6/17,,,,,211001-42:1,,,,,,,,21100142,,,,
212,XI,45,Colton lab,211001-43:0,,Cage 1170422_4,CVN,Male ,9/27/16,29.3,10/6/17,,,,,211001-43:1,,,,,,,,21100143,,,,
213,XI,46,Colton lab,211001-44:0,,Cage 1170422_5,CVN,Male ,9/27/16,32.4,10/6/17,,,,,211001-44:1,,,,,,,,21100144,,,,
214,XII,1,In House,210809-1:0,Control,210809_2,APOE33HN,female,8/23/16,22.3,11/9/17,14.77,15.0,1.25,,210809-1:1,,,,,,14.77,Control,21080901,,,,
215,XII,2,In House,210809-2:0,Control,210809_3,APOE33HN,female,8/23/16,24.4,11/9/17,14.77,15.0,1.25,,210809-2:1,,,,,,14.77,Control,21080902,,,,
216,XII,3,In House,210809-3:0,Control,210809_4,APOE33HN,female,9/2/16,30.1,11/9/17,14.43,15.0,1.25,,210809-3:1,,,,,,14.43,Control,21080903,,,,
217,XII,4,In House,210809-4:0,HFD,210809_5,APOE22HN,male,8/15/16,34.7,11/9/17,15.03,15.0,,,210809-4:1,,,,,,15.03,HFD,21080904,,,,
218,XII,5,In House,210809-5:0,HFD,210809_6,APOE22HN,male,8/15/16,42,11/9/17,15.03,15.0,,,210809-5:1,,,,,,15.03,HFD,21080905,,,,
219,XII,6,In House,210809-6:0,HFD,210809_7,APOE22HN,male,8/15/16,30.9,11/9/17,15.03,15.0,,,210809-6:1,,,,,,15.03,HFD,21080906,,,,
220,XII,7,In House,210809-7:0,HFD,210809_8,APOE22HN,male,8/15/16,44.9,11/9/17,15.03,15.0,,,210809-7:1,,,,,,15.03,HFD,21080907,,,,
221,XII,8,In House,210906-1:0,Control,210906_1,APOE22HN,female,9/6/16,23.5,11/10/17,14.33,14.0,,,210906-1:1,,,,,,14.33,Control,21090601,,,,
222,XII,9,In House,210906-2:0,Control,210906_2,APOE22HN,female,9/6/16,22,11/10/17,14.33,14.0,,,210906-2:1,,,,,,14.33,Control,21090602,,,,
223,XII,10,In House,210906-3:0,Control,210906_3,APOE22HN,female,9/6/16,27,11/10/17,14.33,14.0,,,210906-3:1,,,,,,14.33,Control,21090603,,,,
224,XII,11,In House,210906-4:0,Control,210906_4,APOE22HN,female,9/6/16,26.1,11/9/17,14.3,14.0,,,210906-4:1,,,,,,14.3,Control,21090604,,,,
225,XII,12,In House,210906-5:0,Control,210906_5,APOE22HN,female,9/6/16,26.1,11/10/17,14.33,14.0,,,210906-5:1,,,,,,14.33,Control,21090605,,,,
226,XII,13,In House,210906-6:0,Control,210906_6,APOE22HN,male,9/27/16,34.5,11/10/17,13.63,14.0,,,210906-6:1,,,,,,13.63,Control,21090606,,,,
227,XII,14,In House,210906-7:0,Control,210906_7,APOE22HN,female,9/20/16,25.7,11/9/17,13.83,14.0,,,210906-7:1,,,,,,13.83,Control,21090607,,,,
228,XII,15,In House,210906-8:0,Control,210906_8,APOE22HN,female,9/20/16,27.8,11/9/17,13.83,14.0,,,210906-8:1,,,,,,13.83,Control,21090608,,,,
229,XII,21,In House,210906-14:0,HFD,210906_14,APOE44,Female,10/2/16,28.2,11/16/17,13.67,14.0,,,210906-14:1,,,,,,13.67,HFD,21090614,,,,
230,XII,22,In House,210906-15:0,HFD,210906_15,APOE44,Female,10/2/16,35.2,11/17/17,13.7,14.0,,,210906-15:1,,,,,,13.7,HFD,21090615,,,,
231,XII,24,In House,210906-17:0,HFD,210906_17,APOE44,Female,10/2/16,25.7,11/17/17,13.7,14.0,,,210906-17:1,,,,,,13.7,HFD,21090617,,,,
232,XII,16,In House,210906-9:0,HFD,210906_9,APOE44,Female ,9/7/16,37.3,11/16/17,14.5,15.0,,,210906-9:1,,,,,,14.5,HFD,21090609,,,,
233,XII,17,In House,210906-10:0,HFD,210906_10,APOE44,Female ,9/7/16,42.7,11/16/17,14.5,15.0,,,210906-10:1,,,,,,14.5,HFD,21090610,,,,
234,XII,18,In House,210906-11:0,HFD,210906_11,APOE44,Female ,9/7/16,29.4,11/16/17,14.5,15.0,,,210906-11:1,,,,,,14.5,HFD,21090611,,,,
235,XII,23,In House,210906-16:0,HFD,210906_16,APOE44,Female ,10/2/16,33.5,11/17/17,13.7,14.0,,,210906-16:1,,,,,,13.7,HFD,21090616,,,,
236,XII,25,In House,210906-18:0,HFD,210906_18,APOE44,Female ,10/2/16,34.5,11/17/17,13.7,14.0,,,210906-18:1,,,,,,13.7,HFD,21090618,,,,
237,X,18,In House,210817-14:0,HFD,210112_25,APOE44,male,4/5/16,51.2,8/17/17,16.4,16.0,1.37,True,210817-14:1,,,,,,16.4,HFD,21081714,,,,
238,X,19,In House,210730-7:0,HFD,210112_26,APOE44,male,4/5/16,50.3,8/18/17,16.43,16.0,1.37,True,210730-7:1,,,,,,16.43,HFD,21073007,,,,
239,IX,8,In House,210624-8:0,Control,210503_8,APOE33,female,11/1/15,32.1,6/30/17,19.97,20.0,1.66,True,210624-8:1,,,,,,19.97,Control,21062408,,,,
240,IX,9,In House,210624-9:0,Control,210503_9,APOE33,female,11/1/15,30.3,6/30/17,19.97,20.0,1.66,True,210624-9:1,,,,,,19.97,Control,21062409,,,,
241,IX,10,In House,210624-10:0,Control,210503_11,APOE33,female,11/1/15,30.6,6/30/17,19.97,20.0,1.66,True,210624-10:1,,,,,,19.97,Control,21062410,,,,
242,XII,29,In House,211004-4:0,Control,211004_19,APOE44,Male ,4/5/16,31,11/16/17,19.67,20.0,,,211004-4:1,,,,,,19.67,Control,21100404,,,,
243,XII,30,In House,211004-5:0,Control,211004_20,APOE44,Female ,4/5/16,29.3,11/16/17,19.67,20.0,,,211004-5:1,,,,,,19.67,Control,21100405,,,,
244,XII,31,In House,211004-6:0,Control,211004_21,APOE44HN,Male ,4/20/16,29.2,11/16/17,19.17,19.0,,,211004-6:1,,,,,,19.17,Control,21100406,,,,
245,XII,32,In House,211004-7:0,HFD,211004_5,APOE33,female,10/2/16,46.6,11/30/17,14.13,14.0,,,211004-7:1,,,,,,14.13,HFD,21100407,,,,
246,XII,33,In House,211004-8:0,HFD,211004_9,APOE33,female,10/14/16,42.6,11/30/17,13.73,14.0,,,211004-8:1,,,,,,13.73,HFD,21100408,,,,
247,XII,34,In House,211004-9:0,HFD,211004_14,APOE44HN,Male ,10/4/16,43.1,11/30/17,14.07,14.0,,,211004-9:1,,,,,,14.07,HFD,21100409,,,,
248,XII,35,In House,211004-10:0,HFD,211004_15,APOE44HN,Male,10/4/16,40.7,11/30/17,14.07,14.0,,,211004-10:1,,,,,,14.07,HFD,21100410,,,,
249,XII,36,In House,211004-11:0,HFD,211004_16,APOE44HN,Male ,10/4/16,43.5,11/30/17,14.07,14.0,,,211004-11:1,,,,,,14.07,HFD,21100411,,,,
250,XII,37,In House,211004-12:0,HFD,211004_17,APOE44HN,Male ,10/4/16,45.3,11/30/17,14.07,14.0,,,211004-12:1,,,,,,14.07,HFD,21100412,,,,
251,XII,38,In House,211004-13:0,Control,211004_10,APOE44HN,Female ,10/4/16,25.6,11/30/17,14.07,14.0,,,211004-13:1,,,,,,14.07,Control,21100413,,,,
252,XII,39,In House,211004-14:0,Control,211004_11,APOE44HN,Female ,10/4/16,27.4,11/30/17,14.07,14.0,,,211004-14:1,,,,,,14.07,Control,21100414,,,,
253,XII,40,In House,211004-15:0,Control,211004_12,APOE44HN,Female ,10/4/16,21.3,12/1/17,14.1,14.0,,,211004-15:1,,,,,,14.1,Control,21100415,,,,
254,XII,41,In House,211004-16:0,Control,211004_13,APOE44HN,Female ,10/4/16,22.8,12/1/17,14.1,14.0,,,211004-16:1,,,,,,14.1,Control,21100416,,,,
