Structure,Abbreviation,Hemisphere,Level_1,Level_2,Level_3,Level_4,Subdivisions_7,index,index2,clusfound,Subdivisions_7_nowm
Perirhinal_Cortex,PRh,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,3_temporal_cortex,2_pallium,221,1055,0,2_pallium
Presubiculum,PrS,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,222,1056,0,2_pallium
Piriform_Cortex,Pir,Right,1_forebrain,1_secondary_prosencephalon,5_ventral_pallium,12_lateral_pallium,2_pallium,223,1057,0,2_pallium
Amygdalopiriform_Transition_Area,APir,Right,1_forebrain,1_secondary_prosencephalon,5_ventral_pallium,15_pallium,2_pallium,224,1058,0,2_pallium
Hypothalamus,Hyp,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,225,1059,0,4_diencephalon
Preoptic_Telencephalon,Pre_Tel,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,6_medial_pallium,2_pallium,226,1060,0,2_pallium
Subthalamic_Nucleus,Sthal,Right,1_forebrain,1_secondary_prosencephalon,8_caudal_secondary_prosencephalon,5_hypothalamus,4_diencephalon,227,1061,0,4_diencephalon
Septum,SPT,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_subpallial_amygdala,3_subpallium,228,1062,0,3_subpallium
Globus_Pallidus,GP,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,9_pallidum,3_subpallium,229,1063,0,3_subpallium
Striatum,CPu,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,10_subpallial_septum,3_subpallium,230,1064,0,3_subpallium
Amygdala,Amy,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,9_pallidum,3_subpallium,231,1065,0,3_subpallium
Accumbens,Acb,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,14_striatum,3_subpallium,232,1066,0,3_subpallium
Bed_Nucleus_of_the_Stria_Terminalis,BNst,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_pallial_and_subpallial_amygdala,3_subpallium,233,1067,0,3_subpallium
Ventral_Pallidum,Vpal,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,11_paraseptal_subpallium,3_subpallium,234,1068,0,3_subpallium
Periaquaductal_Grey,PAG,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,235,1069,0,4_diencephalon
Anterior_Pretectal_Nucleus,APT,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,236,1070,0,4_diencephalon
Ventral_Tegmental_Area,VTA,Right,1_forebrain,2_diencephalon,p1,18_tegmentum,4_diencephalon,237,1071,0,4_diencephalon
Thalamus_Rest,Thal_R,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,238,1072,0,4_diencephalon
Ventral_Thalamic_Nuclei,VT,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,239,1073,0,4_diencephalon
Latero_Dorsal_Nucleus_of_Thalamus,LDNT,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,240,1074,0,4_diencephalon
Medial_Geniculate_Nucleus,MGN,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,241,1075,0,4_diencephalon
Lateral_Geniculate_Nucleus,LGN,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,242,1076,0,4_diencephalon
Zona_Incerta,ZI,Right,1_forebrain,2_diencephalon,p3,16_prethalamus,4_diencephalon,243,1077,0,4_diencephalon
Reticular_Nucleus_of_Thalamus,RTN,Right,1_forebrain,2_diencephalon,p3,17_thalamus,4_diencephalon,244,1078,0,4_diencephalon
Subbrachial_Nucleus_and_Peripeduncular_Nucleus,Sub_PP,Right,1_forebrain,2_diencephalon,p3,3_middbrain_tectum,4_diencephalon,245,1079,0,4_diencephalon
Deep_Mesencephalic_Nuclei,DpMe,Right,2_midbrain,combo,p1,1_pretectal_tegmentum,4_diencephalon,246,1080,0,4_diencephalon
Superior_Colliculus,SC,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,247,1081,0,5_midbrain
Inferior_Colliculus,IC,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,248,1082,0,5_midbrain
Substantia_Nigra,SN,Right,2_midbrain,m1,m1,2_midbrain_tegmentum,5_midbrain,249,1083,0,5_midbrain
Red_Nucleus_Parvicellular,RPC,Right,1_forebrain,2_diencephalon,p1,16_pretectal_tegmentum,5_midbrain,250,1084,0,5_midbrain
Midbrain_Reticular_Nucleus,MRN,Right,2_midbrain,m1,m1,3_middbrain_tectum,5_midbrain,251,1085,0,5_midbrain
Rostral_Linear_Nucleus,RI,Right,2_midbrain,m1,m1,2_midbrain_tegmentum,5_midbrain,252,1086,0,5_midbrain
Cuneiform_Nucleus,Cn,Right,2_midbrain,m2,m2,3_midbrain_tectum,5_midbrain,253,1087,0,5_midbrain
Precuneiform_Nucleus,PrCn,Right,2_midbrain,m2,m2,3_midbrain_tectum,5_midbrain,254,1088,0,5_midbrain
Brain_Stem_Rest,BS_R,Right,3_hindbrain,combo,combo,5_combo,6_hindbrain,255,1089,0,6_hindbrain
Interpeduncular_Nucleus,Iped,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,1_pons,6_hindbrain,256,1090,0,6_hindbrain
Cerebellar_Cortex,Cb_1_10,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,257,1091,0,6_hindbrain
Dentate_(Lateral)_Nucleus_of_Cerebellum,Den,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,258,1092,0,6_hindbrain
Interposed_Nucleus_of_Cerebellum,Int,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,259,1093,0,6_hindbrain
Fastigial_Medial_Dorsolateral_Nucleus_of_Cerebellum,FasDL,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,260,1094,0,6_hindbrain
Fastigial_Medial_Nucleus_of_Cerebellum,FasMed,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,2_cerebellum,6_hindbrain,261,1095,0,6_hindbrain
Ventral_Lateral_Lemniscus_Nucleus,Vll,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,262,1096,0,6_hindbrain
Parabrachial_Nucleus,ParB,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,263,1097,0,6_hindbrain
Parabrachial_Medial_Nucleus_and_Koelliker_Fuse_Nucleus,KF,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,264,1098,0,6_hindbrain
Parvicellular_Reticular_Nucleus_and_Principal_Sensory_Trigeminal_Nucleus,PCRt,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,265,1099,0,6_hindbrain
Central_Gray,CG,Right,3_hindbrain,1_prepontine_hindbrain,r1,1_pons,6_hindbrain,266,1100,0,6_hindbrain
Pedunculotegmental_Medial_Paralemniscial_and_Supratrigemnial_Nuclei,Su5,Right,3_hindbrain,1_prepontine_hindbrain,r1,3_pontomedullary_hindbrain,6_hindbrain,267,1101,0,6_hindbrain
Motor_Root_of_Trigeminal_Nerve,m5,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,6_hindbrain,268,1102,0,6_hindbrain
Trigeminal_Motor_Nucleus,5N,Right,3_hindbrain,1_prepontine_hindbrain,r2,3_pontomedullary_hindbrain,6_hindbrain,269,1103,0,6_hindbrain
Pontine_Reticular_Nucleus,PnC,Right,3_hindbrain,1_prepontine_hindbrain,r2,3_pontomedullary_hindbrain,6_hindbrain,270,1104,0,6_hindbrain
Raphe_Nucleus,Raph,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,271,1105,0,6_hindbrain
Trigeminal_Sensory_Nucleus,Pr5,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,3_pontomedullary_hindbrain,6_hindbrain,272,1106,0,6_hindbrain
Dorsal_Tegmentum,DTg,Right,3_hindbrain,1_prepontine_hindbrain,r1_and_r2,1_pons,6_hindbrain,273,1107,0,6_hindbrain
Tegmental_Nucleus,Tg,Right,3_hindbrain,2_pontine_hindbrain,r1,1_pons,6_hindbrain,274,1108,0,6_hindbrain
Cochlear_Nucleus,CoN,Right,3_hindbrain,2_pontine_hindbrain,r3,1_pons,6_hindbrain,275,1109,0,6_hindbrain
Pontine_Nucleus,Pn,Right,3_hindbrain,2_pontine_hindbrain,r3_and_r4,1_pons,6_hindbrain,276,1110,0,6_hindbrain
Reticulotegmental_Nucleus_of_Pons,RTg,Right,3_hindbrain,2_pontine_hindbrain,r3_and_r4,1_pons,6_hindbrain,277,1111,0,6_hindbrain
Olivary_Complex,Oliv,Right,3_hindbrain,3_pontomedullary_hindbrain,r5,1_pons,6_hindbrain,278,1112,0,6_hindbrain
Pontine_Reticular_Nucleus,PnRt,Right,3_hindbrain,3_pontomedullary_hindbrain,r5,1_pons,6_hindbrain,279,1113,0,6_hindbrain
Spinal_Trigeminal_Nucleus,Sp5,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r11,1_pons,6_hindbrain,280,1114,0,6_hindbrain
Vestibular_Nuclei,Ve,Right,3_hindbrain,3_pontomedullary_hindbrain,r3_to_r9,1_pons,6_hindbrain,281,1115,0,6_hindbrain
Gigantocellular_Reticular_Nucleus,Gi,Right,3_hindbrain,4_medullary_hindbrain,r6_to_r10,4_medulla,6_hindbrain,282,1116,0,6_hindbrain
Cuneate_Nucleus,Cu,Right,3_hindbrain,4_medullary_hindbrain,r9_to_r10,4_medulla,6_hindbrain,283,1117,0,6_hindbrain
Anterior_Commisure,ac,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,284,1118,0,7_whitematter
Optic_Tracts,ot,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,285,1119,0,7_whitematter
Fimbria,fi,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,286,1120,0,7_whitematter
Corpus_Callosum,cc,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,287,1121,0,7_whitematter
Fornix,fx,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,288,1122,0,7_whitematter
Stria_Terminalis,st,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,289,1123,0,7_whitematter
Cingulum,cg,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,290,1124,0,7_whitematter
Lateral_Olfactory_Tract,lo,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,291,1125,0,7_whitematter
Ventral_Hippocampal_Commissure,vhc,Right,4_white_matter_tracts,forebrain_white_matter,prosencephalon_white_matter,white_matter,7_whitematter,292,1126,0,7_whitematter
Internal_Capsule,ic,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,293,1127,0,7_whitematter
Fasciculus_Retroflexus,fr,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,294,1128,0,7_whitematter
Stria_Medularis,sm,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,295,1129,0,7_whitematter
Mamillothalamic_Tract,mt,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,296,1130,0,7_whitematter
Posterior_Commissure,pc,Right,4_white_matter_tracts,forebrain_white_matter,diencephalon_white_matter,white_matter,7_whitematter,297,1131,0,7_whitematter
Brachium_of_Superior_Colliculus,bsc,Right,4_white_matter_tracts,midbrain_white_matter,colliculi_white_matter,white_matter,7_whitematter,298,1132,0,7_whitematter
Cerebral_Peduncle,cp,Right,4_white_matter_tracts,midbrain_white_matter,other_midbrain_white_matter,white_matter,7_whitematter,299,1133,0,7_whitematter
Lateral_Lemniscus,ll,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,300,1134,0,7_whitematter
Spinal_Trigeminal_Nerve,sp5,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,301,1135,0,7_whitematter
Pyramidal_Tract,py,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,302,1136,0,7_whitematter
Vestibulocochlear_Nerve,n8,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,303,1137,0,7_whitematter
Facial_Nerve,n7,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,304,1138,0,7_whitematter
Longitudinal_Fasciculus_of_Pons,lfp,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,305,1139,0,7_whitematter
Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract,mlf_ts,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,306,1140,0,7_whitematter
Spinocerebellar_Tract,sc,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,307,1141,0,7_whitematter
Medial_Lemniscus,ml,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,308,1142,0,7_whitematter
Ventral_Spinocerebellar_Tract,vsc,Right,4_white_matter_tracts,hindbrain_white_matter,axial_hindbrain_white_matter,white_matter,7_whitematter,309,1143,0,7_whitematter
Middle_Cerebellar_Peduncle,mcp,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,310,1144,0,7_whitematter
Superior_Cerebellar_Peduncle,scp,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,311,1145,0,7_whitematter
Inferior_Cerebellar_Peduncle,icp_oc_tz,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,312,1146,0,7_whitematter
Cerebellar_White_Matter,cbw,Right,4_white_matter_tracts,hindbrain_white_matter,cerebellar_white_matter,white_matter,7_whitematter,313,1147,0,7_whitematter
Lateral_Ventricle,LV,Right,5_ventricular_system,forebrain,forebrain_CSF,cerebrospinal_fluid,8_CSF,314,1148,0,8_CSF
Cingulate_Cortex_Area_25,A25,Right,1_forebrain,1_secondary_prosencephalon,1_isocortex,2_cingulate_cortex,1_isocortex,315,1149,0,1_isocortex
Dorsal_Acustic_Stria,das,Right,4_white_matter_tracts,pontine_hindbrain,axial_hindbrain_white_matter,white_matter,7_whitematter,316,1150,0,7_whitematter
Postsubiculum,Post,Right,1_forebrain,1_secondary_prosencephalon,3_medial_pallium,6_medial_pallium,2_pallium,317,1151,0,2_pallium
Ventricular_System_4thVentricle,4V,Right,5_ventricular_system,hindbrain,hindbrain_CSF,cerebrospinal_fluid,8_CSF,318,1152,0,8_CSF
Microcellular_Tegmental_Nucleus,MiTg,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,319,1153,0,6_hindbrain
Pretectal_Nucleus,APT,Right,1_forebrain,2_diencephalon,p1,15_pretectum,4_diencephalon,320,1154,0,4_diencephalon
Latero_Dorsal_Thalamic_Nucleus_Ventro_Lateral,LDVL,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,321,1155,0,4_diencephalon
Latero_Posterior_Nuclei_of_Thalamus,LP,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,322,1156,0,4_diencephalon
Anterior_Thalamic_Nuclei,AThal,Right,1_forebrain,2_diencephalon,p2,17_thalamus,4_diencephalon,323,1157,0,4_diencephalon
Red_Nucleus_Magnocellular,RMC,Right,2_midbrain,m1,m1,1_pretectal_tegmentum,4_diencephalon,324,1158,0,4_diencephalon
Pararubral_Nucleus,PaR,Right,2_midbrain,m1,p1_and_m1_and_m2,2_midbrain_tegmentum,5_midbrain,325,1159,0,5_midbrain
Retro_Rubral_Field,RR,Right,3_hindbrain,1_prepontine_hindbrain,isthmus,3_pontomedullary_hindbrain,6_hindbrain,326,1160,0,6_hindbrain
Cerebrospinal_fluid,CSF,Right,5_ventricular_system,combo,combo,CSF,8_CSF,327,1161,0,8_CSF
IntermediateReticularNucleus,IRN,Right,3_hindbrain,pontine_hindbrain,,axial_hindbrain_white_matter,6_hindbrain,328,1162,0,6_hindbrain
PosteriorDorsal_ParaventricularMedialParvicellular_Posterior_LateralHypothalamus,PHD_PaMP_Post_and_LatHy,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,329,1163,0,4_diencephalon
Prerubral_Forel,PR_p3Tg_L,Right,1_forebrain,2_diencephalon,p2_and_p3,17_thalamus,4_diencephalon,330,1164,0,4_diencephalon
PVG_of_Hypothalamus,PVG,Right,1_forebrain,1_secondary_prosencephalon,8_rostral_secondary_prosencephalon,5_hypothalamus,4_diencephalon,331,1165,0,4_diencephalon
Basal Lateral Amygdala,BLA,Right,1_forebrain,1_secondary_prosencephalon,6_subpallium,8_pallial_and_subpallial_amygdala,2_pallium,332,1166,0,2_pallium
TotalBrain,Brain,Bilateral,,,,,,333,,0,
